RLU,CFU,TSP,TEMP,HUMI,CO2,ET,EP,AT
8000,153.3333333,10,18.56666667,41.5,421,18.88368026,350.6069969,121.9733305
8813.333333,63.33333333,12.66666667,14.9,40.23333333,436,15.29053252,227.8289346,98.68454617
7400,130,15,18.36666667,46.56666667,438,18.6701515,342.9084492,120.7858338
4933.333333,33.33333333,29.66666667,18.26666667,46.06666667,440,18.56418267,339.1057369,120.1882489
29880,266.1955241,33,16.4,54.2,415,16.68052616,273.560629,108.5814933
11933.33333,3.333333333,3520,11.56666667,63.56666667,407,12.5599048,145.2762323,75.34169698
14533.33333,13.33333333,21.66666667,14.46666667,57.76666667,461,14.90839683,215.6748075,95.74275386
42826.66667,454.6525324,311.6666667,23.66666667,15.96666667,430,25.10253959,594.0934371,148.6529276
8360,50,477.6666667,16.3,28.06666667,433,16.5845281,270.327808,107.9365771
9933.333333,96.66666667,278,18.6,22.9,432,18.91947561,351.9022463,122.1702472
9120,96.66666667,29.66666667,17,31.93333333,423,17.26681521,293.5358586,112.4031601
15320,141.3427562,774.3333333,18.4,28.83333333,418,18.70559202,344.1828931,120.9844618
7106.666667,46.66666667,39.66666667,19.46666667,26.5,420,19.87126122,386.8272184,127.1884908
7560,0,50.33333333,15.56666667,42.83333333,431,15.89522524,247.4356729,103.140643
